"description","tags","contributors","result","ref_original","ref_replication"
"Experiment 1. Experiment 1 in the study by Nina Mazar, On Amir, and Dan Ariely investigated the effect of moral reminders on honesty. Participants were assigned to recall either ten books they read in high school or the Ten Commandments before completing a task where they could cheat. The study found that recalling the Ten Commandments eliminated cheating completely, while participants who recalled the books cheated when given the opportunity.","Priming","Rían O M","OS not significant","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Ferreira-Santos data"
"Experiment 1. Experiment 1 in the study by Nina Mazar, On Amir, and Dan Ariely investigated the effect of moral reminders on honesty. Participants were assigned to recall either ten books they read in high school or the Ten Commandments before completing a task where they could cheat. The study found that recalling the Ten Commandments eliminated cheating completely, while participants who recalled the books cheated when given the opportunity.","Priming","Rían O M","OS not significant","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Evans data"
"Experiment 1. Experiment 1 in the study by Nina Mazar, On Amir, and Dan Ariely investigated the effect of moral reminders on honesty. Participants were assigned to recall either ten books they read in high school or the Ten Commandments before completing a task where they could cheat. The study found that recalling the Ten Commandments eliminated cheating completely, while participants who recalled the books cheated when given the opportunity.","Priming","Rían O M","OS not significant","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Biatz data"
"Experiment 1. Experiment 1 in the study by Nina Mazar, On Amir, and Dan Ariely investigated the effect of moral reminders on honesty. Participants were assigned to recall either ten books they read in high school or the Ten Commandments before completing a task where they could cheat. The study found that recalling the Ten Commandments eliminated cheating completely, while participants who recalled the books cheated when given the opportunity.","Priming","Rían O M","OS not significant","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Birt data"
"Experiment 1. Experiment 1 in the study by Nina Mazar, On Amir, and Dan Ariely investigated the effect of moral reminders on honesty. Participants were assigned to recall either ten books they read in high school or the Ten Commandments before completing a task where they could cheat. The study found that recalling the Ten Commandments eliminated cheating completely, while participants who recalled the books cheated when given the opportunity.","Priming","Rían O M","OS not significant","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Baskin data"
"Experiment 1. Experiment 1 in the study by Nina Mazar, On Amir, and Dan Ariely investigated the effect of moral reminders on honesty. Participants were assigned to recall either ten books they read in high school or the Ten Commandments before completing a task where they could cheat. The study found that recalling the Ten Commandments eliminated cheating completely, while participants who recalled the books cheated when given the opportunity.","Priming","Rían O M","OS not significant","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Aczel data"
"Experiment 1. Experiment 1 in the study by Nina Mazar, On Amir, and Dan Ariely investigated the effect of moral reminders on honesty. Participants were assigned to recall either ten books they read in high school or the Ten Commandments before completing a task where they could cheat. The study found that recalling the Ten Commandments eliminated cheating completely, while participants who recalled the books cheated when given the opportunity.","Priming","Rían O M","OS not significant","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Success","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Success","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Success","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Success","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Success","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Success","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Success","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Success","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure (reversal)","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"Moral Priming","Priming","Rían O M","Failure","Mazar, N., Amir, O., & Ariely, D. (2008). The Dishonesty of Honest People: A Theory of Self-Concept Maintenance. Journal of Marketing Research, 45(6), 633-644. Experiment 1","Verschuere B, Meijer EH, Jim A, et al. Registered Replication Report on Mazar, Amir, and Ariely (2008). Advances in Methods and Practices in Psychological Science. 2018;1(3):299-317. Acar data"
"","experimental philosophy","Cova","OS not significant","McCann, H. J. (2005). Intentional action and intending: Recent empirical studies. Philosophical Psychology, 18(6), 737-748.","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44."
"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.","Affect, Decision Making, Defense Mechanisms, Female, Humans, Internal-External Control, Male, Motivation, Self Concept, Social Responsibility, Thinking","Chartier","OS not significant","McCrea, SM. (2008). Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation. Journal of Personality and Social Psychology, 95(2), 274-292","Chartier, C. R., & Perna, O. K. (2023, September 28). Replication of SM McCrea (2008, JPSP 95(2), Exp. 5). Retrieved from osf.io/mua6d"
"Gratitude is positively correlated with agreeableness.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","McCullough, M. E., Emmons, R. A., & Tsang, J. A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82, 112-127. Study 2","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Gratitude is positively correlated with extraversion.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","McCullough, M. E., Emmons, R. A., & Tsang, J. A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82, 112-127. Study 2","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Participants who encounter scarcity salience in a prior unrelated context would be more likely to use the provided products in novel but appropriate ways to solve the given task.","creativity, innovativeness, product use, scarcity, abundance, resource constraints","Kaiser, Leonard","Failure","Mehta, R., & Zhu, M. (2016). Creating when you have less: The impact of resource scarcity on product use creativity. Journal of Consumer Research, 42(5), 767-782. Study 2","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118."
"The frequency estimate for the “and are” conjunction phrase will be lower than the frequency estimate for ‘and” conjunction phrase.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Failure","Mellers, B., Hertwig, R., & Kahneman, D. (2001). Do frequency representations eliminate conjunction effects? An exercise in adversarial collaboration. Psychological Science, 12(4), 269-275.","Chandrashekar, S., Cheng‎, Y. H., Fong‎, C. L., Leung‎, Y. C., Wong, Y. T., Cheng, B. L., & Feldman, G. (2021). Frequency estimation and semantic ambiguity do not eliminate ‎conjunction bias, when it ‎occurs: Replication and extension of ‎Mellers, Hertwig, and Kahneman (2001)‎. In Meta-Psychology (Vol. 5). Linnaeus University."
"The frequency estimate for the “and are” conjunction phrase will be lower than the frequency estimate for ‘and” conjunction phrase.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Failure","Mellers, B., Hertwig, R., & Kahneman, D. (2001). Do frequency representations eliminate conjunction effects? An exercise in adversarial collaboration. Psychological Science, 12(4), 269-275.","Chandrashekar, S., Cheng‎, Y. H., Fong‎, C. L., Leung‎, Y. C., Wong, Y. T., Cheng, B. L., & Feldman, G. (2021). Frequency estimation and semantic ambiguity do not eliminate ‎conjunction bias, when it ‎occurs: Replication and extension of ‎Mellers, Hertwig, and Kahneman (2001)‎. In Meta-Psychology (Vol. 5). Linnaeus University."
"The frequency estimate for the “and are” conjunction phrase will be higher than the phrase describing unlikely target alone.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Success","Mellers, B., Hertwig, R., & Kahneman, D. (2001). Do frequency representations eliminate conjunction effects? An exercise in adversarial collaboration. Psychological Science, 12(4), 269-275.","Chandrashekar, S., Cheng‎, Y. H., Fong‎, C. L., Leung‎, Y. C., Wong, Y. T., Cheng, B. L., & Feldman, G. (2021). Frequency estimation and semantic ambiguity do not eliminate ‎conjunction bias, when it ‎occurs: Replication and extension of ‎Mellers, Hertwig, and Kahneman (2001)‎. In Meta-Psychology (Vol. 5). Linnaeus University."
"The frequency estimate for the “and are” conjunction phrase will be higher than the phrase describing unlikely target alone.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Success","Mellers, B., Hertwig, R., & Kahneman, D. (2001). Do frequency representations eliminate conjunction effects? An exercise in adversarial collaboration. Psychological Science, 12(4), 269-275.","Chandrashekar, S., Cheng‎, Y. H., Fong‎, C. L., Leung‎, Y. C., Wong, Y. T., Cheng, B. L., & Feldman, G. (2021). Frequency estimation and semantic ambiguity do not eliminate ‎conjunction bias, when it ‎occurs: Replication and extension of ‎Mellers, Hertwig, and Kahneman (2001)‎. In Meta-Psychology (Vol. 5). Linnaeus University."
"The frequency estimate for the “and” conjunction phrase will be higher than the phrase describing unlikely target alone.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Success","Mellers, B., Hertwig, R., & Kahneman, D. (2001). Do frequency representations eliminate conjunction effects? An exercise in adversarial collaboration. Psychological Science, 12(4), 269-275.","Chandrashekar, S., Cheng‎, Y. H., Fong‎, C. L., Leung‎, Y. C., Wong, Y. T., Cheng, B. L., & Feldman, G. (2021). Frequency estimation and semantic ambiguity do not eliminate ‎conjunction bias, when it ‎occurs: Replication and extension of ‎Mellers, Hertwig, and Kahneman (2001)‎. In Meta-Psychology (Vol. 5). Linnaeus University."
