,description,tags,contributors,result,ref_original,ref_replication,abstract,cited_by_count,gs_title
247,Challenging moral attitudes with moral messages,,LR,Failure,"Luttrell, A., Philipp-Muller, A., & Petty, R. E. (2019). Challenging moral attitudes with moral messages. Psychological Science, 30(8), 1136-1150.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","When crafting a message, communicators may turn to moral rhetoric as a means of influencing an audience’s opinion. In the present research, we tested whether the persuasiveness of explicitly moral counterattitudinal messages depends on how much people have already based their attitudes on moral considerations. A survey of the literature suggests several competing hypotheses that we tested across two studies. The results support a persuasive-matching pattern: A moral appeal was more persuasive than a nonmoral appeal to the extent that initial attitudes were based on moral concerns (i.e., attitudes were moralized), but the opposite was true when initial attitudes had less of a moral basis. Exploratory analyses also showed that these effects were mediated by valenced thoughts about the message and moderated by political orientation. These findings add new insight to literatures on both the effects of moral arguments and moralized attitudes.Sage Journals",107.0,Challenging moral attitudes with moral messages
248,The effects of an implemental mind-set on attitude strength.,"Adult, Attitude, Behavior [physiology], Decision Making [physiology], Female, Goals, Humans, Self Concept, Set (Psychology), Students [psychology], Task Performance and Analysis",Lane,OS not significant,"MD Henderson, Y de Liver, PM Gollwitzer (2008). The effects of an implemental mind-set on attitude strength. Journal of Personality and Social Psychology, 94.3: 396-411.","Lane, K. A., & Gazarian, D. (2016, August 19). Replication of Henderson, de Liver, & Gollwitzer (2008, JPSP, Expt. 5). Retrieved from osf.io/79dey","The authors investigated whether an implemental mind-set fosters stronger attitudes. Participants who made a decision about how to act (vs. those who held off) expressed a more extreme attitude toward an issue unrelated to the decision (Experiment 1). Participants who planned the implementation of a decision (vs. deliberated vs. control) exhibited less ambivalent (Experiment 2) and more accessible (Experiment 3) attitudes toward various objects unrelated to the decision. Moreover, an attitude reported by planning participants better predicted self-reported behavior 1 week later (Experiment 4). Finally, results suggest that the effect of an implemental mind-set on attitude strength toward unrelated objects is driven by a focus on information that supports an already-made decision (Experiment 5). Implications for attitudes, goals, and mind-sets are discussed.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",114.0,The effects of an implemental mind-set on attitude strength.
249,On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.,"Adolescent, Adult, Attention, Decision Making, Discrimination Learning, Female, Humans, Male, Mental Recall, Phonetics, Reaction Time, Reading, Semantics",Chartier,Success,"MJ Yap, DA Balota, CS Tse, D Besner. (2008) On the additive effects of stimulus quality and word frequency in lexical decision: evidence for opposing interactive influences revealed by RT distributional analyses. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 495-513.","Chartier, C. R., & Nervi, T. (2023, September 28). Replication of MJ Yap, DA Balota, CS Tse, D Besner (2008, JEPLMC 34(3), Exp 4). Retrieved from osf.io/ahpik","The joint effects of stimulus quality and word frequency in lexical decision were examined in 4 experiments as a function of nonword type (legal nonwords, eg, BRONE, vs. pseudohomophones, eg, BRANE). When familiarity was a viable dimension for word–nonword discrimination, as when legal nonwords were used, additive effects of stimulus quality and word frequency were observed in both means and distributional characteristics of the response-time distributions. In contrast, when the utility of familiarity was undermined by using pseudohomophones, additivity was observed in the means but not in distributional characteristics. Specifically, opposing interactive effects in the underlying distribution were observed, producing apparent additivity in means. These findings are consistent with the suggestion that, when familiarity is deemphasized in lexical decision, cascaded processing between letter and word levels is in play, whereas, when familiarity is a viable dimension for word–nonword discrimination, processing is discrete.American Psychological Association",125.0,[HTML][HTML] On the additive effects of stimulus quality and word frequency in lexical decision: evidence for opposing interactive influences revealed by RT distributional …
250,Westerners are more likely than East Asians to report intuitions that are consistent with the causal-historical view,experimental philosophy,"Sprenger, Colombo, Romero & Van Dongen",Failure,"Machery, E., Mallon, R., Nichols, S., & Stich, S. P. (2004). Semantics, cross-cultural style. Cognition, 92(3), B1-B12.","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44.",,871.0,"[HTML][HTML] Semantics, cross-cultural style"
251,Realistic threat explains negativity toward Asian Americans,,LR,Success,"Maddux, W. W., Galinsky, A. D., Cuddy, A. J., & Polifroni, M. (2008). When being a model minority is good... and bad: Realistic threat explains negativity toward Asian Americans. Personality and Social Psychology Bulletin, 34(1), 74-89.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","The current research explores the hypothesis that realistic threat is one psychological mechanism that can explain how individuals can hold positive stereotypical beliefs toward Asian Americans yet also express negative attitudes and emotions toward them. Study 1 demonstrates that in a realistic threat context, attitudes and emotions toward an anonymous group described by only positive, “model minority” attributes are significantly more negative than when the group was described using other positive attributes. Study 2 demonstrates that realistic threat significantly mediates the relationship between (a) the endorsement of the both the positive and negative stereotypes of Asian Americans and (b) subsequent negative attitudes and emotions toward them. Studies 3 and 4 conceptually replicate this effect in experimental situations involving interactions with Asian Americans in realistic threat contexts. Implications for understanding the nature of stereotyping and prejudice toward Asian Americans and other minority groups are discussed.Sage Journals",315.0,When being a model minority is good... and bad: Realistic threat explains negativity toward Asian Americans
252,The effect of product units displayed on the package on the serving size,Anchoring; Packaging; Food consumption,"Kaiser, Leonard",Failure,"Madzharov, a V., and Block, L. G. (2010). Effects of product unit image on consumption of snack foods. J. Consum. Psychol. 20, 398–409. doi:  Study 1a","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896.",,217.0,[HTML][HTML] Effects of product unit image on consumption of snack foods
253,The effect of product units displayed on the package on perceived product quantity,Anchoring; Packaging; Food consumption,"Kaiser, Leonard",Failure,"Madzharov, a V., and Block, L. G. (2010). Effects of product unit image on consumption of snack foods. J. Consum. Psychol. 20, 398–409. doi:  Study 1a","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896.",,217.0,[HTML][HTML] Effects of product unit image on consumption of snack foods
254,"Concerns about disease, pathogens, germs can bias people toward categorizing social targets as members of an unfamiliar out-group","pathogen avoidance, germ aversion, social categorization, ageism, minimal group","Zaneva, Mirela",Success,"Makhanova, A., Miller, S. L., & Maner, J. K. (2015). Germs and the out-group: Chronic and situational disease concerns affect intergroup categorization. Evolutionary Behavioral Sciences, 9(1), 8–19. Study 2","Makhanova, A., Eubanks, A. D., & Maner, J. K. (2023). Does pathogen avoidance affect intergroup categorization? Replication of Makhanova, Miller, and Maner (2015). Evolutionary Behavioral Sciences, 17(2), 171–186.","Throughout human evolutionary history, members of unfamiliar out-groups are likely to have posed significant disease threats. The current studies assessed whether concerns about disease would bias people toward categorizing social targets as members of an unfamiliar out-group. Using a minimal group paradigm, 2 experiments assessed the extent to which perceivers categorized neutral targets and those displaying heuristic disease cues as members of the in-group versus the out-group. A bias toward categorizing targets with heuristic disease cues (but not neutral targets) as members of the novel out-group was observed among people high in chronic germ aversion and among those for whom disease threat had been experimentally primed. Consistent with theories emphasizing the pernicious dangers potentially posed by out-group pathogens, this bias was strongest if the targets were also a part of a racial out-group. Findings suggest a fundamental link between disease avoidance processes and biases in intergroup cognition.(PsycInfo Database Record (c) 2022 APA, all rights reserved)American Psychological Association",79.0,Germs and the out-group: Chronic and situational disease concerns affect intergroup categorization.
255,Orienting attention in visual working memory reduces interference from memory probes.,"Adolescent, Adult, Attention, Color Perception, Cues, Discrimination Learning, Female, Humans, Inhibition (Psychology), Male, Memory, Short-Term, Orientation, Pattern Recognition, Visual, Psychophysics, Reaction Time, Retention (Psychology)",Moore,OS not significant,"Makovski, Tal; Sussman, Rachel; Jiang, Yuhong V. (2008). Orienting attention in visual working memory reduces interference from memory probes. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34.2: 369-380.","Moore, K. (2023, September 28). Replication of Makovski, Sussman, & Jiang (2008, JEP:LMC). Retrieved from osf.io/0pxro","Given a changing visual environment, and the limited capacity of visual working memory (VWM), the contents of VWM must be in constant flux. Using a change detection task, the authors show that VWM is subject to obligatory updating in the face of new information. Change detection performance is enhanced when the item that may change is retrospectively cued 1 s after memory encoding and 0.5 s before testing. The retro-cue benefit cannot be explained by memory decay or by a reduction in interference from other items held in VWM. Rather, orienting attention to a single memory item makes VWM more resistant to interference from the test probe. The authors conclude that the content of VWM is volatile unless it receives focused attention, and that the standard change detection task underestimates VWM capacity.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",338.0,Orienting attention in visual working memory reduces interference from memory probes.
256,Poverty impedes cognitive function,,LR,Failure,"Mani, A., Mullainathan, S., Shafir, E., & Zhao, J. (2013). Poverty impedes cognitive function. science, 341(6149), 976-980.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","The poor often behave in less capable ways, which can further perpetuate poverty. We hypothesize that poverty directly impedes cognitive function and present two studies that test this hypothesis. First, we experimentally induced thoughts about finances and found that this reduces cognitive performance among poor but not in well-off participants. Second, we examined the cognitive function of farmers over the planting cycle. We found that the same farmer shows diminished cognitive performance before harvest, when poor, as compared with after harvest, when rich. This cannot be explained by differences in time available, nutrition, or work effort. Nor can it be explained with stress: Although farmers do show more stress before harvest, that does not account for diminished cognitive performance. Instead, it appears that poverty itself reduces cognitive capacity. We suggest that this is because poverty-related concerns consume mental resources, leaving less for other tasks. These data provide a previously unexamined perspective and help explain a spectrum of behaviors among the poor. We discuss some implications for poverty policy.AAAS",3714.0,Poverty impedes cognitive function
257,Learning via active and passive hypothesis testing,"gender inclusivity, web design",LR,OS not significant,"Markant, D. B., & Gureckis, T. M. (2014). Is it better to select or to receive? Learning via active and passive hypothesis testing. Journal of Experimental Psychology: General, 143(1), 94.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","People can test hypotheses through either selection or reception. In a selection task, the learner actively chooses observations to test his or her beliefs, whereas in reception tasks data are passively encountered. People routinely use both forms of testing in everyday life, but the critical psychological differences between selection and reception learning remain poorly understood. One hypothesis is that selection learning improves learning performance by enhancing generic cognitive processes related to motivation, attention, and engagement. Alternatively, we suggest that differences between these 2 learning modes derives from a hypothesis-dependent sampling bias that is introduced when a person collects data to test his or her own individual hypothesis. Drawing on influential models of sequential hypothesis-testing behavior, we show that such a bias (a) can lead to the collection of data that facilitates learning compared with reception learning and (b) can be more effective than observing the selections of another person. We then report a novel experiment based on a popular category learning paradigm that compares reception and selection learning. We additionally compare selection learners to a set of “yoked” participants who viewed the exact same sequence of observations under reception conditions. The results revealed systematic differences in performance that depended on the learner’s role in collecting information and the abstract structure of the problem.(PsycInfo Database Record (c) 2020 APA, all rights reserved)American Psychological Association",210.0,Is it better to select or to receive? Learning via active and passive hypothesis testing.
258,When does between-sequence phonological similarity promote irrelevant sound disruption?,"Attention, Humans, Mental Recall, Phonetics, Psychoacoustics, Semantics, Serial Learning, Speech Perception, Verbal Learning",Bell,OS not significant,"Marsh, J.E., Vachon, F., & Jones, D.M. (2008). When does between-sequence phonological similarity promote irrelevant sound disruption? Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 243-248.","Ricker, A. A., & Saide, A. (2023, September 28). Replication of JI Campbell, ND Robert (2008, JEPLMC 34(3), Exp 3). Retrieved from osf.io/gxvd3","Typically, the phonological similarity between to-be-recalled items and TBI auditory stimuli has no impact if recall in serial order is required. However, in the present study, the authors have shown that the free recall, but not serial recall, of lists of phonologically related to-be-remembered items was disrupted by an irrelevant sound stream (end rhymes) sharing similar phonological content. These findings can be explained by the notion that between-sequence phonological similarity effects emerge when category-cueing processes become an important determinant for recall, such as when shared category information can be used as a retrieval aid to cue list items or plausible list candidates. In this case, the presence of categorically similar irrelevant items impairs the retrieval of list items and leads to intrusion error. Implications of these results for theories of auditory distraction are discussed.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",37.0,When does between-sequence phonological similarity promote irrelevant sound disruption?
259,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.","Adult, Association, Attention [physiology], Beverages, Blood Glucose [metabolism], Brain [physiology], Female, Humans, Inhibition (Psychology), Interpersonal Relations, Intuition [physiology], Judgment [physiology], Logic, Male, Motivation, Physical Exertion [physiology], Problem Solving [physiology], Set (Psychology)",Osborne,Failure,"Masicampo, E.J., & Baumeister, R.F. (2008). Toward a physiology of dual-process reasoning and judgment: Lemonade, willpower, and expensive rule-based analysis. Psychological Science, 19(3), 255-260.","Osborne, C., Vuu, G., & Henninger, F. (2023, September 28). Replication of EJ Masicampo, RF Baumeister (2008, PS 19(3)). Retrieved from osf.io/3h29d","This experiment used the attraction effect to test the hypothesis that ingestion of sugar can reduce reliance on intuitive, heuristic-based decision making. In the attraction effect, a difficult choice between two options is swayed by the presence of a seemingly irrelevant “decoy” option. We replicated this effect and the finding that the effect increases when people have depleted their mental resources performing a previous self-control task. Our hypothesis was based on the assumption that effortful processes require and consume relatively large amounts of glucose (brain fuel), and that this use of glucose is why people use heuristic strategies after exerting self-control. Before performing any tasks, some participants drank lemonade sweetened with sugar, which restores blood glucose, whereas others drank lemonade containing a sugar substitute. Only lemonade with sugar reduced the attraction effect. These results show one way in which the body (blood glucose) interacts with the mind (self-control and reliance on heuristics).Sage Journals",521,"Toward a physiology of dual-process reasoning and judgment: Lemonade, willpower, and expensive rule-based analysis"
260,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.","Affect, Decision Making, Defense Mechanisms, Female, Humans, Internal-External Control, Male, Motivation, Self Concept, Social Responsibility, Thinking",Chartier,OS not significant,"McCrea, SM. (2008). Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation. Journal of Personality and Social Psychology, 95(2), 274-292","Chartier, C. R., & Perna, O. K. (2023, September 28). Replication of SM McCrea (2008, JPSP 95(2), Exp. 5). Retrieved from osf.io/mua6d","Researchers interested in counterfactual thinking have often found that upward counterfactual thoughts lead to increased motivation to improve in the future, although at the cost of increased negative affect. The present studies suggest that because upward counterfactual thoughts indicate reasons for a poor performance, they can also serve as excuses. In this case, upward counterfactual thoughts should result in more positive self-esteem and reduced future motivation. Five studies demonstrated these effects in the context of self-handicapping. First, upward counterfactual thinking was increased in the presence of a self-handicap. Second, upward counterfactual thoughts indicating the presence of a self-handicap protected self-esteem following failure. Finally, upward counterfactual thoughts that protect self-esteem reduced preparation for a subsequent performance as well as performance itself. These findings suggest that the consequences of upward counterfactuals for affect and motivation are moderated by the goals of the individual as well as the content of the thoughts.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",175,"Self-handicapping, excuse making, and counterfactual thinking: consequences for self-esteem and future motivation."
261,Participants who encounter scarcity salience in a prior unrelated context would be more likely to use the provided products in novel but appropriate ways to solve the given task.,"creativity, innovativeness, product use, scarcity, abundance, resource constraints","Kaiser, Leonard",Failure,"Mehta, R., & Zhu, M. (2016). Creating when you have less: The impact of resource scarcity on product use creativity. Journal of Consumer Research, 42(5), 767-782. Study 2","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118."," This research examines how a general sense of resource availability influences consumers’ product use creativity. The authors propose and demonstrate that the salience of resource scarcity versus abundance enhances the novelty of product use solutions in independent consumption environments. An investigation of the underlying process finds that scarcity salience activates a constraint mindset that persists and manifests itself through reduced functional fixedness in subsequent product usage contexts (i.e., makes consumers think beyond the traditional functionality of a given product), consequently enhancing product use creativity. This work advances the extant creativity literature, currently limited to examining the effects of context-specific resource constraints, by establishing a context-independent linkage between resource availability and product use creativity. Furthermore, this research contributes to the scarcity literature, which has primarily focused on investigating the quantity and frequency of consumption, by examining the impact of scarcity on the quality of consumption solutions.Oxford University Press",276,Creating when you have less: The impact of resource scarcity on product use creativity
262,Measuring receptiveness to opposing views,,LR,Success,"Minson, J. A., Chen, F. S., & Tinsley, C. H. (2020). Why won’t you listen to me? Measuring receptiveness to opposing views. Management Science, 66(7), 3069-3094.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","We develop an 18-item self-report measure of receptiveness to opposing views. Studies 1a and 1b present the four-factor scale and report measures of internal, convergent, and discriminant validity. In study 2, more receptive individuals chose to consume proportionally more information from U.S. senators representing the opposing party than from their own party. In study 3, more receptive individuals reported less mind wandering when viewing a speech with which they disagreed, relative to one with which they agreed. In study 4, more receptive individuals evaluated supporting and opposing policy arguments more impartially. In study 5, we find that voters who opposed Donald Trump but reported being more receptive at the time of the election were more likely to watch the inauguration, evaluate the content of the inauguration speech in a more even-handed manner, and select a more balanced portfolio of news outlets for later consumption than their less receptive counterparts. We discuss the scale as a tool to investigate the role of receptiveness for conflict, decision making, and collaboration.This paper was accepted by Elke Weber, judgment and decision making.INFORMS",102,Why won't you listen to me? Measuring receptiveness to opposing views
263,transposed-word effect in grammaticality judgments,"morality, rebel",LR,Failure,"Mirault, J., Snell, J., & Grainger, J. (2018). You that read wrong again! A transposed-word effect in grammaticality judgments. Psychological Science, 29(12), 1922-1929.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","We report a novel transposed-word effect in speeded grammaticality judgments made about five-word sequences. The critical ungrammatical test sequences were formed by transposing two adjacent words from either a grammatical base sequence (e.g., “The white cat was big” became “The white was cat big”) or an ungrammatical base sequence (e.g., “The white cat was slowly” became “The white was cat slowly”). These were intermixed with an equal number of correct sentences for the purpose of the grammaticality judgment task. In a laboratory experiment (N = 57) and an online experiment (N = 94), we found that ungrammatical decisions were harder to make when the ungrammatical sequence originated from a grammatically correct base sequence. This provides the first demonstration that the encoding of word order retains a certain amount of uncertainty. We further argue that the novel transposed-word effect reflects parallel processing of words during written sentence comprehension combined with top-down constraints from sentence-level structures.Sage Journals",107,You that read wrong again! A transposed-word effect in grammaticality judgments
264,Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.,"Association Learning, Attention, Humans, Inhibition (Psychology), Orientation, Reaction Time, Reading, Semantics",Bosco,Success,"Mirman, D., & Magnuson, J. S. (2008). Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 65-79.","Bosco, F., & Field, J. G. (2016, August 19). Replication of Mirman & Magnuson (2008, JEP:LMC, Study 2). Retrieved from osf.io/rvkc5","The authors investigated semantic neighborhood density effects on visual word processing to examine the dynamics of activation and competition among semantic representations. Experiment 1 validated feature-based semantic representations as a basis for computing semantic neighborhood density and suggested that near and distant neighbors have opposite effects on word processing. Experiment 2 confirmed these results: Word processing was slower for dense near neighborhoods and faster for dense distant neighborhoods. Analysis of a computational model showed that attractor dynamics can produce this pattern of neighborhood effects. The authors argue for reconsideration of traditional models of neighborhood effects in terms of attractor dynamics, which allow both inhibitory and facilitative effects to emerge.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",186.0,Attractor dynamics and semantic neighborhood density: processing is slowed by near neighbors and speeded by distant neighbors.
265,Personality dominance and preferential use of the vertical dimension of space,"Adult, Attention, Choice Behavior, Female, Humans, Male, Metaphor, Personality, Social Dominance, Space Perception, Spatial Behavior",Levitan,Failure,"Moeller, S.K., Robinson, M.D., Zabelina, D.L. (2008). Personality dominance and preferential use of the vertical dimension of space. Psychological Science, 19, 355-361.","Levitan, C., & Fernández, B. (2023, September 28). Replication of SK Moeller, MD Robinson, DL Zabelina (2008, Psychological Science, Experiment 2). Retrieved from osf.io/tg2wd","Previous research has shown that dominant individuals frequently think in terms of dominance hierarchies, which typically invoke vertical metaphor (e.g., “upper” vs. “lower” class). Accordingly, we predicted that in spatial attention paradigms, such individuals would systematically favor the vertical dimension of space more than individuals low in dominance. This prediction was supported by two studies (total N = 96), which provided three tests involving two different spatial attention paradigms. In all cases, analyses controlling for speed of response to horizontal spatial probes revealed that more dominant individuals were faster than less dominant individuals to respond to probes along the vertical dimension of space. Such data support the metaphor-representation perspective, according to which people think in metaphoric terms, even in on-line processing tasks. These results have implications for understanding dominance and also indicate that conceptual metaphor is relevant to understanding the cognitive-processing basis of personality.Sage Journals",90.0,Personality dominance and preferential use of the vertical dimension of space: Evidence from spatial attention paradigms
266,"By manipulating the timing of an activity, the Time-Elicit (TEL) procedure of stating the maximum amount of hours required for a task should be more sensitive to a change in time scarcity, because time of money required for a task). Analogously, the TEL procedure should be more sensitive to a change in the timing of the activity. That is, distant activitiesscarcity receives a higher weight in TEL vs. Money-Elicit (MEL) procedure - stating the minimum amount should yield lower wage rates, particularly in the TEL (vs. MEL) procedure, which should diminish the wage rate asymmetry","time, money, scarcity, time-money tradeoffs, wage rates, procedural invariance","Kaiser, Leonard",Failure,"Monga, A., May, F., & Bagchi, R. (2017). Eliciting time versus money: time scarcity underlies asymmetric wage rates. Journal of consumer research, 44(4), 833-852. Study 4","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118.",,54.0,Eliciting time versus money: Time scarcity underlies asymmetric wage rates
267,resenting those who do the right thing,,LR,OS not significant,"Monin, B., Sawyer, P. J., & Marquez, M. J. (2008). The rejection of moral rebels: resenting those who do the right thing. Journal of personality and social psychology, 95(1), 76.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","Four studies document the rejection of moral rebels. In Study 1, participants who made a counterattitudinal speech disliked a person who refused on principle to do so, but uninvolved observers preferred this rebel to an obedient other. In Study 2, participants taking part in a racist task disliked a rebel who refused to go along, but mere observers did not. This rejection was mediated by the perception that rebels would reject obedient participants (Study 3), but did not occur when participants described an important trait or value beforehand (Study 4). Together, these studies suggest that rebels are resented when their implicit reproach threatens the positive self-image of individuals who did not rebel.American Psychological Association",472,[HTML][HTML] The rejection of moral rebels: resenting those who do the right thing.
268,imagined consumption reduces actual consumption,"Social Science Replication Project, Science, Nature, Human Behavior",Lukas Röseler,Success,"Morewedge, C. K., Huh, Y. E., & Vosgerau, J. (2010). Thought for food: Imagined consumption reduces actual consumption. Science, 330(6010), 1530-1533.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644.","The consumption of a food typically leads to a decrease in its subsequent intake through habituation—a decrease in one’s responsiveness to the food and motivation to obtain it. We demonstrated that habituation to a food item can occur even when its consumption is merely imagined. Five experiments showed that people who repeatedly imagined eating a food (such as cheese) many times subsequently consumed less of the imagined food than did people who repeatedly imagined eating that food fewer times, imagined eating a different food (such as candy), or did not imagine eating a food. They did so because they desired to eat it less, not because they considered it less palatable. These results suggest that mental representation alone can engender habituation to a stimulus.AAAS",418.0,Thought for food: Imagined consumption reduces actual consumption
269,"Now you see it, now you don't: repetition blindness for nonwords","Attentional Blink, Humans, Judgment, Memory, Short-Term, Pattern Recognition, Visual, Reading, Semantics, Serial Learning, Verbal Learning",Goodbourn,Failure,"Morris, A.L., Still, M.L. (2008). Now you see it, now you don't: Repetition blindness for nonwords. Journal of Experimental Psychology: Learning Memory and Cognition, 34(1), 146–166.","Goodbourn, P. T. (2023, September 28). Replication of Morris and Still (2008). Retrieved from osf.io/rmvk5","Repetition blindness (RB) for nonwords has been found in some studies, but not in others. The authors propose that the discrepancy in results is fueled by participant strategy; specifically, when rapid serial visual presentation lists are short and participants are explicitly informed that some trials will contain repetitions, participants are able to use partial orthographic information to correctly guess repetitions on repetition trials while avoiding spurious repetition reports on control trials. The authors first replicated V. Coltheart and R. Langdon's (2003) finding of RB for words but repetition advantage for nonwords (Experiment 1). When all participants were encouraged to utilize partial information in a same/different matching task along with an identification task, a repetition advantage was observed for both words and nonwords (Experiment 2). When guessing of repetitions was made detectable by including non-identical but orthographically similar items in the experiments, the repetition advantage disappeared; instead, RB was found for both words and nonwords (Experiments 3 and 4). Finally, when experiments did not contain any identical items, participants almost never reported repetitions, and reliable RB was found for orthographically similar words and nonwords (Experiments 5 and 6).American Psychological Association",16,"[HTML][HTML] Now you see it, now you don't: repetition blindness for nonwords."
270,Distinguishing between silent and vocal minorities: Not all deviants feel marginal.,"Conflict (Psychology), Culture, Female, Group Processes, Humans, Individuality, Male, Motivation, Personal Satisfaction, Social Conformity, Social Dominance, Social Identification",Motyl,OS not significant,"Morrison, Kimberly Rios, and Dale T. Miller. ""Distinguishing between silent and vocal minorities: Not all deviants feel marginal."" Journal of Personality and Social Psychology 94.5 (2008): 871","Motyl, M., & Nosek, B. A. (2023, September 28). Replication of Morrison & Miller (2008, JPSP, Study 3). Retrieved from osf.io/nhwv5","People's opinions can deviate from that of the average group member in two ways. Descriptive deviants diverge from the average group attitude in a direction consistent with the desirable group attitude; prescriptive deviants diverge from the average group attitude in a direction inconsistent with the desirable group attitude. Three studies tested the hypothesis that descriptive deviants are more willing to express their opinions than either nondeviants or prescriptive deviants. Study 1 found that college students reported more comfort in expressing descriptive deviant opinions because descriptive deviance induced feelings of superior conformity (ie, being “different but good”). Study 2 found that descriptive deviants reported more pride after expressing their opinions, were rated as more proud by an observer, and were more willing to publicize their opinions. Study 3 showed that political bumper stickers with descriptive deviant messages were displayed disproportionately more frequently than were those with prescriptive deviant messages.American Psychological Association",77.0,[HTML][HTML] Distinguishing between silent and vocal minorities: Not all deviants feel marginal.
